,playlist_id,playlist_name,playlist_genre,playlist_subgenre
0,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,pop,mainstream
47,37i9dQZF1DWXRqgorJj26U,Rock Classics,rock,classic
138,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,jazz,classic
139,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials,classical,essential
142,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,hip-hop,modern
179,6mODZNt8CYYEBrWAyS5vs4,Gangster Rap,hip-hop,gangster
220,37i9dQZF1EIhshGKK0SEkb,Trap,hip-hop,trap
256,37i9dQZF1DWX0o6sD1a6P5,Afro Hits,afrobeats,nigerian
264,37i9dQZF1DX10zKzsJ2jva,Viva Latino,latin,modern
306,0WHSUDr9DMD89LvRgj8kyK,Latino Hip-Hop,latin,hip-hop
308,2KA1ER81lhJ7VWNEs3dkpZ,Bollywood Butter,indian,bollywood
313,5pMia1lBFZyj4VVa0wzrNV,Indie Rock Roadtrip,rock,indie
318,37i9dQZF1DX2sUQwD7tbmL,Feel Good Indie Rock,rock,feel-good
340,5AgNIKN8i20irzvQ7CTO68,Classic Country,country,classic
343,37i9dQZF1EQoqCH7BwIYb7,R&B Hits,r&b,modern
393,37i9dQZF1DX3Kdv0IChEm9,EDM Hits,electronic,modern
453,37i9dQZF1DXaXDsfv6nvZ5,Soul Coffee,soul,classic
455,37i9dQZF1DWTyiBJ6yEqeu,Top Gaming Tracks,gaming,modern
555,37i9dQZF1DWYkaDif7Ztbp,African Heat,afrobeats,african
567,37i9dQZF1DX3f3gm9VK7fL,Anime Hits,j-pop,anime
578,37i9dQZF1DWWOaP4H0w5b0,Metal Essentials,metal,classic
594,3i47D9xIUamcm3ZkOIWwkr,Hip-Hop Drive,hip-hop,modern
595,71R43lBYQZ6JQXH6LmRo1I,Reggae Classics,reggae,classic
599,37i9dQZF1DX186v583rmzp,90s Hip-Hop,hip-hop,90s
618,37i9dQZF1DX1spT6G94GFC,80s Rock Anthems,rock,80s
662,6OYaw7arTfoGEHpGdItkLQ,French Rap Classics,hip-hop,french
665,1bNuDsel3P60p11Z7vfHMR,K-Pop Daebak,k-pop,modern
676,37i9dQZEVXbMDoHDwVN2tF,Global Top 50,pop,global
726,0jqQDMmHIkdbkFQdQTlMEQ,Chill Spanish Vibes,latin,chill
751,3gZgGRvDn9tTUy8n7699pD,Arab X,arabic,modern
801,37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,pop,soft
899,37i9dQZF1DX7F6T2n2fegs,Throwback Party,pop,throwback
1049,37i9dQZF1DXcxvFzl58uP7,Bedroom Pop,pop,bedroom
1060,4q2NzGlz5Nn6kB6Dh2vBKX,Alternative Rock,rock,alternative
1106,37i9dQZF1DXcF6B6QPhFDv,Rock This,rock,modern
1110,27gN69ebwiJRtXEboL12Ih,Heavy Metal Classics,metal,heavy
1129,72GgLgQ63eUHG3CyCv42Ju,Pop Punk Powerhouses,punk,pop punk
1179,5arFyak5nEhUf9kpsssXxT,Classic Blues,blues,classic
1224,37i9dQZF1DXbDjX0hus3Iu,Southern Rock,rock,southern
1227,37i9dQZF1EIfjV34mXjFem,Indie Folk,folk,indie
1252,37i9dQZF1EIf7CddUmF8UH,American Folk,folk,american
1259,37i9dQZF1DX3VNFqEPdDGw,Bhangra Bangers,indian,bhangra
1261,3BOxfexQyBa1tsEZ1tJFVQ,Lofi Hip Hop,lofi,hip-hop
1263,37i9dQZF1EIcPn17YOI0D2,Minimalism,classical,modern
1264,37i9dQZF1DX0AMssoUKCz7,Tropical House,electronic,tropical
1271,37i9dQZF1DX4uPi2roRUwU,Techno Bunker,electronic,techno
1310,3Ivv8tT1eEt89ALFXDy59O,Future Bass,electronic,future bass
1313,37i9dQZF1DX2TRYkJECvfC,Deep House Relax,electronic,deep house
1314,0KmkdDrKlNG5GPuoF0sf3y,Cumbia Classics,latin,cumbia
1317,50RFc7X949cZs4CHZ4fPDe,Reggaeton Hits,latin,reggaeton
1418,6G1N7RXO7gOGfFKlRyjl8G,Brazilian Funk,brazilian,funk
1432,5d29bl04zUgpD8rxNJO4os,Turkish Pop,turkish,pop
1439,37i9dQZF1EIf4OaZ1XTJYw,Chill Hop,hip-hop,chill
1479,3kEpLybbAlVUVimW5Evijb,Meditative Vibes,ambient,meditative
1497,37i9dQZF1DX3Ogo9pFvBkY,Ambient Chill,ambient,chill
1498,6JH5nqQdmdNPuwEoCImWnj,Dark Academia,ambient,academic
1540,37i9dQZF1EIgLJJI0PCAq9,Melodic Rap,hip-hop,melodic
1568,37i9dQZF1DWUXxc8Mc6MmJ,K-Drama OSTs,korean,drama
1576,37i9dQZF1DWZKxXtx1tSxF,Tuvan Throat Singing,world,throat singing
1580,37i9dQZF1DX4jUyNIMkj6N,Nordic Folk,folk,nordic
1581,37i9dQZF1DX2RahGIyQXcJ,Desi Hip-Hop,hip-hop,desi
1599,37i9dQZF1EIeAKlEStQOxi,Reggae Fusion,reggae,fusion
1600,487jKTFqWhs6b0AEUz0WpX,Afro House,electronic,afro house
1611,37i9dQZF1EIfnkSMcirbYT,Neo-Classical,classical,neo-classical
1617,37i9dQZF1EIdOtkojz5FWw,Vaporwave Essentials,electronic,vaporwave
1626,652TD735fW0JesE9VgHhzS,UK Drill,hip-hop,drill
1630,4pJvzaBmfEjNSEva1k2fkD,Spanish Rock Classics,rock,spanish
1650,37i9dQZF1DX3wwp27Epwn5,Bollywood Workout,indian,workout
1652,58zteW83Lvl8e158fCCFVN,French Touch,electronic,french
1670,37i9dQZF1EIcLyY4fNNQaC,Australian Indie,indie,australian
1674,0oU30cCr8klmMsuOKHDLkh,Afro-Latin Party,latin,afro-latin
1685,59z06GgF6TTDbm5cr1RZUC,Scandi Pop,pop,scandi
1859,37i9dQZF1DX8Uebhn9wzrS,Chill Lofi Study Beats,lofi,chill
2539,0aJeb7c05PEMiBtjWP55H2,Delta Blues,blues,delta
2574,37i9dQZF1DXahjk49z40fT,Mandopop Hits,mandopop,modern
2588,0PL8Ul6NZoph7tBTmIex0A,Cantopop Essentials,cantopop,classic
2615,37i9dQZF1DX3LrQBSMX6aK,Indian Classical,indian,classical
2735,37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,jazz,modern
2822,37i9dQZF1DX6lttj7ulLd6,Smooth Jazz,jazz,smooth
2925,7gh5NAVKOqUZ8fPrM5NvXh,Synthwave,electronic,retro
3135,1LJ43C0twQIzhP54v7Gt54,Forró Fiesta,brazilian,forró
3273,0Hyn0Bj7eWczyQdhkNAYFR,Middle Eastern Beats,arabic,modern
3294,3VWPuFU1jP0hSLEdiWVciE,Irish Traditions,folk,irish
3578,37i9dQZF1DX9uKNf5jGX6m,Yoga & Meditation,wellness,yoga
3658,3KSE9kdmJBAvTLdpWvljvz,Epic Film Scores,classical,cinematic
3682,37i9dQZF1DXdfOcg1fm0VG,Video Game Soundtracks,gaming,soundtracks
3727,37i9dQZF1DX9WxEZbyU6MA,Choral Classics,classical,choral
3752,37i9dQZF1DXb6pBzjNjXR1,Afro Tech,electronic,african
3832,37i9dQZF1DX9lAYMw7KoAO,African Gospel,gospel,african
3845,4reKL9y3Zh2ccRcBKfAwuz,Modern Gospel,gospel,modern
3894,37i9dQZF1DXb1IUaS6F7Z8,Celtic Punk,punk,celtic
3920,5BhxShcX9jU7eRPU1fqixf,Latin Jazz,jazz,latin
3932,4zVwlYg6y6p561rBkWAojb,Tango Classics,latin,tango
3942,37i9dQZF1EIewlPBx6BGCU,Cajun Zydeco,world,cajun
3952,37i9dQZF1EIe9Q36y4Bx4r,Klezmer Traditions,world,klezmer
3988,37i9dQZF1EIcGyx7Jjy0By,Experimental Electronic,electronic,experimental
